corpus	conv_id	token_id	token_span	audio	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIPasti	KPS004	452-1	452-1	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=824146&end=825146	no	_	_	_	// io acqua e birra // no dico la frittata te l''ha data alessandra? // no // ecco sennò // quella io non la voglio // ho	capito	allora // mh // xxxxxxx // cosa ha detto la giuli? // che sta p~ s''è preparata // metti un go~ un xxx di vino che non sembri che
KIPasti	KPS004	495-6	495-6	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=899266&end=900907	no	_	_	_	la mia // allo'' xxxxx // xx prendo due cose // vuoi due altre rape no xx son troppe // no o sì? // quando dici no sì non ho	capito	// questo fatto che sa di prezzemolo mh è particolare // buona? // t''ho insegnato una cosa // mhmh // dammi quella cosa lì
KIPasti	KPS004	546-29	546-29	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=992870&end=1001724	no	_	_	_	eh devi è è il lavoro è un labo~ è un lavoro figlia mia no devi stare attenta eh perchè se no escono fuori come bro~ come latte	capito?	se tu non stai att~ // ma quanto tipo? // un''ora? // no di più di un''ora // due tre ore due tre ore finchè non si // mhmh // mhmh
KIPasti	KPS004	588-7	588-7	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=1063366&end=1066394	yes	Richiesta di accordo/conferma	_	_	// eh bisogna cuocerlo // cuocerlo sì // è già cotto comunque // è da dopo che bisogna fare // eh // cioè l''orzo è tipo il riso	capito	al posto del riso // ma mai cucinato da queste parti l''orzo? // boh io no ma io da sola non lo faccio molto però // ma tu in
KIPasti	KPS004	653-2	653-2	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=1163788&end=1165091	no	_	_	_	// eh eh // io c''ho quello che lo macini dopo che l''hai sbrustolita // mh // perchè si faceva il caffè alla turca // sì ho	capito	sì mh // che s~ che si dà il caffè fatto lì dopo deve depositare // filtrato sì sì mh // e il disopra lo mangiavi e il sotto
KIPasti	KPS004	1118-2	1118-2	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=2079094&end=2083074	yes	Richiesta di accordo/conferma	_	_	non me la voleva dare lo stesso // e perchè non te la voleva da~ // perchè non vi siete capit~ // contrattano contrattano	capito	contrattano io ad esempio questi all''ultimo momento // mh // cioè con li con mas~ con li masai non contratti proprio
KIPasti	KPS004	1619-4	1619-4	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=3137520&end=3139835	no	_	_	_	// quelli che tu dicevi perchè la ci sono quelli bianchi con il coso con lo zucchero // con lo zucchero // ah okay no ho	capito	sì no questi dicevo // aspetta che li devono capire al volo quelli // allora quella giornalista che ha scritto quel libro
KIPasti	KPS004	2270-17	2270-17	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=4542925&end=4550173	yes	Richiesta di accordo/conferma	_	_	grazie a dio xxxx // i~ andiamocene via // perchè mh // cioè è una compagna di viaggio no è una che si sta a quello che dici tu	capito	non è il tipo che ti vuole dire lei // le cose // massimo del mangiare mi ricordo del mangiare c''aveva fame quindi dovevamo
KIPasti	KPS004	2927-13	2927-13	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=6254901&end=6259476	yes	Richiesta di accordo/conferma	_	_	perchè lei ha sposato nel trentanove // mia madre // aspetta fammi ricordare che che faccio che così la testa si aggiusta	capito?	// mia madre ha sposato ah no il dodici ottobre è quando ho sposato io // mia madre però io ho sposato a vent''anni lei nel
KIPasti	KPS004	2950-0	2950-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=6321126&end=6321600	yes	Richiesta di accordo/conferma	_	_	// il quattro agosto // mio padre prese mia madre incinta e così la portò a lecce // co~ e io nacqui a lecce // purtroppo //	capito?	// nacqui a lecce // e mio padre rimase a roma // perchè tutti i movimenti di guerra eccetera eccetera // poi mio padre per
